id,director_name
1,Akira Kurosawa
2,Alejandro Amenabar
3,Alejandro G. Inarritu
3,Alejandro G. Inarritu
4,Alfred Hitchcock
5,Andrew Stanton
5,Andrew Stanton
6,Anthony Russo
7,Asghar Farhadi
8,Billy Bob Thornton
9,Billy Wilder
10,Brad Bird
11,Brian De Palma
12,Bryan Singer
13,Chan-wook Park
14,Charles Chaplin
15,Charles Ferguson
16,Christopher Nolan
16,Christopher Nolan
16,Christopher Nolan
16,Christopher Nolan
16,Christopher Nolan
16,Christopher Nolan
16,Christopher Nolan
17,Clint Eastwood
17,Clint Eastwood
17,Clint Eastwood
18,Curtis Hanson
19,Damien Chazelle
20,Danny Boyle
21,Darren Aronofsky
22,David Fincher
22,David Fincher
22,David Fincher
23,David Lean
23,David Lean
24,David Lynch
24,David Lynch
25,Dean DeBlois
26,Denis Villeneuve
26,Denis Villeneuve
27,Edgar Wright
28,Edward Zwick
29,Elia Kazan
30,Ethan Coen
31,Fernando Meirelles
32,Florian Henckel von Donnersmarck
33,Francis Ford Coppola
33,Francis Ford Coppola
33,Francis Ford Coppola
34,Frank Darabont
34,Frank Darabont
35,Frank Miller
36,Fritz Lang
37,Gavin O'Connor
38,George Lucas
39,George Miller
40,George Roy Hill
40,George Roy Hill
41,Gore Verbinski
42,Guillermo del Toro
43,Gus Van Sant
44,Guy Ritchie
44,Guy Ritchie
45,Harold Ramis
46,Hayao Miyazaki
46,Hayao Miyazaki
46,Hayao Miyazaki
47,Irvin Kershner
48,James Cameron
48,James Cameron
48,James Cameron
49,James Gunn
50,James McTeigue
51,Jean-Marc Vallee
52,Jean-Pierre Jeunet
53,Joel Coen
54,John Carpenter
55,John G. Avildsen
56,John Lasseter
57,John McTiernan
58,Jonathan Demme
59,Jose Padilha
60,Joss Whedon
60,Joss Whedon
61,Juan Jose Campanella
62,Julian Schnabel
63,Karan Johar
64,Katsuhiro Otomo
65,Lana Wachowski
66,Lars von Trier
67,Lee Unkrich
68,Lenny Abrahamson
69,M. Night Shyamalan
70,Martin McDonagh
71,Martin Scorsese
71,Martin Scorsese
71,Martin Scorsese
71,Martin Scorsese
71,Martin Scorsese
71,Martin Scorsese
72,Mel Gibson
73,Michael Moore
73,Michael Moore
74,Michel Gondry
75,Michel Hazanavicius
76,Milos Forman
76,Milos Forman
77,Morten Tyldum
78,Oliver Hirschbiegel
79,Oliver Stone
79,Oliver Stone
80,Paul Greengrass
81,Paul Thomas Anderson
81,Paul Thomas Anderson
82,Pete Docter
82,Pete Docter
82,Pete Docter
83,Peter Jackson
83,Peter Jackson
83,Peter Jackson
84,Peter Weir
85,Quentin Tarantino
85,Quentin Tarantino
85,Quentin Tarantino
85,Quentin Tarantino
85,Quentin Tarantino
85,Quentin Tarantino
86,Rakeysh Omprakash Mehra
87,Richard Kelly
88,Richard Linklater
88,Richard Linklater
88,Richard Linklater
89,Richard Marquand
90,Ridley Scott
90,Ridley Scott
90,Ridley Scott
90,Ridley Scott
91,Rob Reiner
91,Rob Reiner
92,Robert Zemeckis
92,Robert Zemeckis
93,Roger Allers
94,Roman Polanski
95,Ron Howard
95,Ron Howard
95,Ron Howard
96,Sam Mendes
97,Sean Penn
98,Sergio Leone
98,Sergio Leone
98,Sergio Leone
99,Spike Jonze
100,Stanley Kubrick
101,Stephen Chbosky
102,Steve McQueen
103,Steven Spielberg
103,Steven Spielberg
103,Steven Spielberg
103,Steven Spielberg
103,Steven Spielberg
104,Tate Taylor
105,Terry George
106,Terry Gilliam
106,Terry Gilliam
107,Thomas Vinterberg
107,Thomas Vinterberg
108,Tim Burton
109,Tim Miller
110,Tom McCarthy
111,Tony Kaye
112,Tony Scott
113,Victor Fleming
113,Victor Fleming
114,Vincent Paronnaud
115,Wes Anderson
116,Wolfgang Petersen
117,Woody Allen
